vessel,Category,subcategory,length,beam,GT,DWT,year_built
EVER ACME,Container Ship,Container Ship,400,62,236673,241816,2022
CC CHAMPS ELYSEES,Container Ship,Container Ship,400,61,236583,220766,2020
CMA CGM MONTMARTRE,Container Ship,Container Ship,400,61,236583,221103,2021
CMA CGM SORBONNE,Container Ship,Container Ship,400,61,236583,221251,2021
CMA CGM TROCADERO,Container Ship,Container Ship,400,61,236583,220666,2021
CMA CGM RIVOLI,Container Ship,Container Ship,400,61,236583,221251,2021
CMA CGM PALAIS ROYAL,Container Ship,Container Ship,400,61,236583,221294,2020
CMA CGM CONCORDE,Container Ship,Container Ship,400,61,236583,221322,2021
CMACGM JACQUES SAADE,Container Ship,Container Ship,400,61,236583,221251,2020
CMA CGM LOUVRE,Container Ship,Container Ship,400,61,236583,220868,2020
EVER APEX,Container Ship,Container Ship,399,62,236228,241816,2022
EVER ATOP,Container Ship,Container Ship,399,62,236228,241816,2022
EVER ARIA,Container Ship,Container Ship,399,61,236228,241816,2022
EVER ALOT,Container Ship,Container Ship,399,61,236228,224982,2022
MSC IRINA,Container Ship,Container Ship,400,61,236184,240739,2023
MSC MARIELLA,Container Ship,Container Ship,399,61,236184,281456,2023
MSC LORETO,Container Ship,Container Ship,399,60,236184,281456,2023
MSC MICHELCAPPELLINI,Container Ship,Container Ship,399,61,236184,281456,2023
MSC MICOL,Container Ship,Container Ship,400,61,236080,281456,2023
MSC TURKIYE,Container Ship,Container Ship,399,61,236080,281456,2023
MSC RAYA,Container Ship,Container Ship,399,61,236078,272405,2023
MSC NICOLA MASTRO,Container Ship,Container Ship,399,61,236078,272347,2023
MSC TESSA,Container Ship,Container Ship,400,62,236078,272373,2023
MSC CELESTINOMARESCA,Container Ship,Container Ship,399,61,236078,272353,2023
MSC CHINA,Container Ship,Container Ship,399,61,235651,272131,2023
MSC CLAUDE GIRARDET,Container Ship,Container Ship,399,61,235651,271957,2023
MSC METTE,Container Ship,Container Ship,399,61,235651,272192,2023
MSC GEMMA,Container Ship,Container Ship,399,61,235651,272133,2023
EVER ALP,Container Ship,Container Ship,400,62,235579,241960,2021
EVER ACE,Container Ship,Container Ship,400,62,235579,241960,2021
EVER ACT,Container Ship,Container Ship,400,62,235579,241960,2021
EVER AIM,Container Ship,Container Ship,400,62,235579,241960,2021
EVER ARM,Container Ship,Container Ship,400,62,235579,241960,2022
EVER ART,Container Ship,Container Ship,400,62,235579,241960,2022
OOCL GDYNIA,Container Ship,Container Ship,399,61,235341,224868,2023
OOCL ABU DHABI,Container Ship,Container Ship,399,61,235341,215000,2024
OOCL SPAIN,Container Ship,Container Ship,399,61,235341,224969,2023
OOCL ZEEBRUGGE,Container Ship,Container Ship,399,61,235341,224826,2023
OOCL TURKIYE,Container Ship,Container Ship,399,61,235341,224827,2023
OOCL PIRAEUS,Container Ship,Container Ship,399,61,235341,224821,2023
CSCL INDIAN OCEAN,Container Ship,Container Ship,400,59,188638,184320,2015
CSCL ARCTIC OCEAN,Container Ship,Container Ship,400,59,188638,184320,2015
CSCL ATLANTIC OCEAN,Container Ship,Container Ship,400,59,188638,184320,2015
CSCL PACIFIC OCEAN,Container Ship,Container Ship,400,59,188638,184320,2014
CSCL GLOBE,Container Ship,Container Ship,400,59,188638,184320,2014
MSC ANNA,Container Ship,Container Ship,400,59,187587,185503,2016
MSC VIVIANA,Container Ship,Container Ship,400,59,187587,185503,2017
CMACGM VASCO DE GAMA,Container Ship,Container Ship,399,54,179922,184700,2015
CMA CGM ZHENG HE,Container Ship,Container Ship,399,54,179922,185199,2015
CMA CGM B FRANKLIN,Container Ship,Container Ship,399,54,179922,185070,2015
CMACGM GEORG FORSTER,Container Ship,Container Ship,398,54,177381,194752,2015
CMACGM BOUGAINVILLE,Container Ship,Container Ship,398,54,177381,186528,2015
CMA CGM KERGUELEN,Container Ship,Container Ship,398,54,177381,186745,2015
CMA CGM MARCO POLO,Container Ship,Container Ship,396,54,176546,187625,2012
CMA CGM VON HUMBOLDT,Container Ship,Container Ship,396,54,176546,186470,2013
MSC VENICE,Container Ship,Container Ship,399,54,176490,186650,2016
MSC LONDON,Container Ship,Container Ship,399,54,176490,186650,2014
MSC AMSTERDAM,Container Ship,Container Ship,399,54,176490,186541,2015
MSC ISTANBUL,Container Ship,Container Ship,399,54,176490,186650,2015
MSC HAMBURG,Container Ship,Container Ship,399,54,176490,210475,2015
MAERSK HIDALGO,Container Ship,Container Ship,353,54,153773,178257,2017
MAERSK HOUSTON,Container Ship,Container Ship,353,54,153773,178257,2019
MAERSK HERRERA,Container Ship,Container Ship,353,54,153773,178257,2018
MAERSK HAMBURG,Container Ship,Container Ship,353,54,153773,178257,2018
MAERSK HANOI,Container Ship,Container Ship,353,54,153773,178257,2018
MAERSK HUACHO,Container Ship,Container Ship,353,54,153744,178257,2019
MAERSK HALIFAX,Container Ship,Container Ship,353,54,153744,178257,2017
MSC GENOVA,Container Ship,Container Ship,366,51,153733,166041,2010
MSC LA SPEZIA,Container Ship,Container Ship,366,51,153733,165977,2010
MSC LIVORNO,Container Ship,Container Ship,366,51,153733,165918,2010
COSCO FRANCE,Container Ship,Container Ship,366,51,153666,156596,2013
ONE MANHATTAN,Container Ship,Container Ship,366,51,153453,146883,2015
ONE MACKINAC,Container Ship,Container Ship,366,51,153453,146867,2015
BRUSSELS EXPRESS,Container Ship,Container Ship,369,51,153224,149360,2014
AL MURABBA,Container Ship,Container Ship,369,51,153148,149360,2015
UMM QARN,Container Ship,Container Ship,368,51,153148,149360,2016
AL JMELIYAH,Container Ship,Container Ship,368,51,153148,149360,2017
AFIF,Container Ship,Container Ship,368,51,153148,149360,2017
AL MASHRAB,Container Ship,Container Ship,368,51,153148,149360,2016
AL JASRAH,Container Ship,Container Ship,368,51,153148,149360,2016
EVER TOP,Container Ship,Container Ship,368,51,151362,150207,2014
CMA CGM ARCTIC,Container Ship,Container Ship,366,51,150844,159614,2022
CMA CGM BALI,Container Ship,Container Ship,366,51,150844,159614,2021
CMA CGM TENERE,Container Ship,Container Ship,366,51,150844,154700,2020
CMA CGM SCANDOLA,Container Ship,Container Ship,366,51,150844,159614,2020
CMA CGM SYMI,Container Ship,Container Ship,366,51,150844,159614,2022
CMA CGM IGUACU,Container Ship,Container Ship,366,51,150844,159614,2021
CMA CGM LIBERTY,Container Ship,Container Ship,366,51,150783,160194,2022
MSC SOFIA,Container Ship,Container Ship,366,51,150783,160194,2023
CMA CGM UNITY,Container Ship,Container Ship,366,51,150783,160194,2021
MSC CALYPSO,Container Ship,Container Ship,366,51,150783,159528,2023
CMA CGM HOPE,Container Ship,Container Ship,366,51,150783,160194,2021
MSC KAYLEY,Container Ship,Container Ship,366,51,150783,160194,2023
MSC TAYLOR,Container Ship,Container Ship,366,51,150783,159528,2023
MSC AUDREY,Container Ship,Container Ship,365,51,150783,159528,2023
MSC MONICA CRISTINA,Container Ship,Container Ship,366,51,150783,159528,2023
CMA CGM DIGNITY,Container Ship,Container Ship,366,51,150783,160194,2022
CMA CGM INTEGRITY,Container Ship,Container Ship,366,51,150783,160194,2022
CMA CGM PRIDE,Container Ship,Container Ship,366,51,150783,160194,2022
MSC FREYA,Container Ship,Container Ship,366,51,150783,159528,2023
HONG KONG EXPRESS,Container Ship,Container Ship,367,48,143262,142018,2013
SHANGHAI EXPRESS,Container Ship,Container Ship,367,48,143262,142022,2013
ULSAN EXPRESS,Container Ship,Container Ship,367,48,143262,142023,2014
LUDWIGSHAFEN EXPRESS,Container Ship,Container Ship,367,48,143262,142035,2014
ESSEN EXPRESS,Container Ship,Container Ship,366,48,143262,142022,2013
BASLE EXPRESS,Container Ship,Container Ship,367,48,143262,142051,2012
NEW YORK EXPRESS,Container Ship,Container Ship,367,48,143262,142028,2012
LEVERKUSEN EXPRESS,Container Ship,Container Ship,366,48,143262,142007,2014
ANTWERPEN EXPRESS,Container Ship,Container Ship,367,48,143262,142020,2013
COSCOSHIPPING ORCHID,Container Ship,Container Ship,366,48,143179,146423,2019
COSCO JASMINE,Container Ship,Container Ship,366,48,143179,146773,2018
COSCO CAMELLIA,Container Ship,Container Ship,366,48,143179,146378,2019
COSCO SHIPPING PEONY,Container Ship,Container Ship,366,48,143179,146588,2018
COSCO AZALEA,Container Ship,Container Ship,366,48,143179,146513,2019
COSCO SAKURA,Container Ship,Container Ship,366,48,143179,146507,2018
COSCO SHIPPING ROSE,Container Ship,Container Ship,366,48,143179,146714,2018
COSCO SHIPPING LOTUS,Container Ship,Container Ship,366,48,143179,146591,2019
MSC RENEE,Container Ship,Container Ship,366,48,142740,155222,2012
MSC MARGRIT,Container Ship,Container Ship,366,48,142740,155222,2012
HMM HOPE,Container Ship,Container Ship,356,48,142620,145683,2014
MSC JOSSELINE,Container Ship,Container Ship,366,48,140976,150893,2019
MSC ALIYA,Container Ship,Container Ship,366,48,140976,150893,2019
CMA CGM G.WASHINGTON,Container Ship,Container Ship,366,48,140872,148441,2017
CMA CGM ALASKA,Container Ship,Container Ship,366,48,140259,153532,2011
PARIS EXPRESS,Container Ship,Container Ship,366,48,140259,153514,2011
CMA CGM NEVADA,Container Ship,Container Ship,366,48,140259,153630,2011
MSC BERYL,Container Ship,Container Ship,366,48,140096,154792,2010
MSC KATIE,Container Ship,Container Ship,366,48,140096,154792,2012
MSC LAURENCE,Container Ship,Container Ship,366,48,140096,175327,2011
MSC LAUREN,Container Ship,Container Ship,366,48,140096,154792,2011
MSC MARIA SAVERIA,Container Ship,Container Ship,366,48,140096,154792,2011
MSC FLAVIA,Container Ship,Container Ship,366,48,140096,175327,2012
MSC KATRINA,Container Ship,Container Ship,366,48,140096,175327,2012
MSC WASHINGTON,Container Ship,Container Ship,335,51,138121,153319,2022
MSC VIRGINIA,Container Ship,Container Ship,335,51,138121,153616,2022
MSC SOLA,Container Ship,Container Ship,364,46,131771,138377,2008
MSC IVANA,Container Ship,Container Ship,364,46,131771,138377,2008
MSC FRANCESCA,Container Ship,Container Ship,364,46,131771,174897,2008
MSC LUCIANA,Container Ship,Container Ship,364,46,131771,174897,2009
CMA CGM LYRA,Container Ship,Container Ship,363,46,131332,131266,2011
EVER FORTUNE,Container Ship,Container Ship,334,48,117340,127058,2020
EVER FOCUS,Container Ship,Container Ship,334,48,117340,127076,2020
EVER FRANK,Container Ship,Container Ship,334,48,117340,127076,2021
COSCO TAICANG,Container Ship,Container Ship,348,46,116897,111499,2009
COSCO KAOHSIUNG,Container Ship,Container Ship,348,46,116739,111414,2008
COSCO OCEANIA,Container Ship,Container Ship,348,46,116739,111385,2008
CSCL SUMMER,Container Ship,Container Ship,335,49,116603,121805,2014
CSCL BOHAI SEA,Container Ship,Container Ship,335,49,116603,121824,2014
CSCL SPRING,Container Ship,Container Ship,335,49,116603,121849,2014
CSCL WINTER,Container Ship,Container Ship,335,49,116603,121839,2014
CSCL SOUTH CHINA SEA,Container Ship,Container Ship,335,49,116568,121185,2014
CSCL AUTUMN,Container Ship,Container Ship,335,49,116568,121270,2014
CSCL YELLOW SEA,Container Ship,Container Ship,335,49,116568,121194,2014
CSCL EAST CHINA SEA,Container Ship,Container Ship,335,49,116568,121147,2014
EVER FIT,Container Ship,Container Ship,334,48,116295,130573,2021
EVER FAST,Container Ship,Container Ship,334,48,116295,130573,2021
EVER FAIR,Container Ship,Container Ship,334,48,116295,130573,2021
EVER FORE,Container Ship,Container Ship,334,48,116295,130573,2021
EVER FAME,Container Ship,Container Ship,334,48,116295,130573,2021
EVER FEAT,Container Ship,Container Ship,334,48,116295,130573,2021
SEASPAN BEYOND,Container Ship,Container Ship,337,48,113042,119368,2016
SEASPAN BRIGHTNESS,Container Ship,Container Ship,337,48,113042,115308,2014
SEASPAN AMAZON,Container Ship,Container Ship,337,48,112967,115260,2014
RDO ACE,Container Ship,Container Ship,336,48,112967,119262,2018
SEASPAN THAMES,Container Ship,Container Ship,337,48,112967,115304,2014
SEASPAN ZAMBEZI,Container Ship,Container Ship,336,48,112967,115086,2014
SEASPAN YANGTZE,Container Ship,Container Ship,337,48,112967,115318,2014
SEASPAN GANGES,Container Ship,Container Ship,336,48,112967,115177,2014
CAPE ARTEMISIO,Container Ship,Container Ship,330,48,112836,134931,2017
CAPE TAINARO,Container Ship,Container Ship,330,48,112836,134885,2017
CAPE AKRITAS,Container Ship,Container Ship,330,48,112836,134869,2016
CAPE KORTIA,Container Ship,Container Ship,330,48,112836,134731,2017
CAPE SOUNIO,Container Ship,Container Ship,330,48,112836,134931,2017
MSC AINO,Container Ship,Container Ship,328,48,112695,141630,2019
MSC BIANCA,Container Ship,Container Ship,328,48,112695,141630,2019
CMA CGM BUTTERFLY,Container Ship,Container Ship,350,43,111249,138919,2008
